Generation	Population	Deaths	meanAlpha	meanBeta	meanDrift	SD_Alpha	SD_Beta	SD_Drift	corr_AB	
6800	50	26	0.06196	0.02359	0.4916	0.1586	0.08173	9.502	-0.01977
6850	50	22	0.03398	0.02409	0.4902	0.1061	0.08365	9.53	0.05982
6900	50	26	0.01912	0.01707	0.4743	0.09014	0.06941	9.509	-0.008934
6950	50	21	0.01912	0.02549	0.4751	0.09014	0.08948	9.518	-0.0269
7000	50	20	0.01912	0.03259	0.4904	0.09014	0.1004	9.561	-0.03899
7050	50	27	0.04209	0.03902	0.4855	0.1385	0.1306	9.517	-0.07585
7100	50	19	0.03053	0.02038	0.4682	0.1186	0.0724	9.503	-0.04096
7150	50	20	0.01887	0.03542	0.4945	0.08469	0.1044	9.5	-0.07562
7200	50	26	0.02932	0.01707	0.4824	0.1014	0.06941	9.509	-0.03266
7250	50	25	0.01912	0.03239	0.4757	0.09014	0.08812	9.513	-0.04393
7300	50	22	0.03318	0.01707	0.4741	0.1314	0.06941	9.498	-0.03243
7350	50	28	0.03783	0.01707	0.483	0.1567	0.06941	9.497	-0.03449
7400	50	23	0.03054	0.01892	0.4703	0.1093	0.06944	9.492	-0.0405
7450	50	24	0.01912	0.01721	0.4703	0.09014	0.06938	9.521	-0.009366
7500	50	24	0.02487	0.02679	0.4792	0.09759	0.09551	9.517	-0.04248
7550	50	24	0.03675	0.01707	0.4805	0.1506	0.06941	9.509	-0.03413
7600	50	23	0.03711	0.02453	0.4837	0.1155	0.1063	9.516	-0.05765
7650	50	22	0.03681	0.02392	0.4775	0.1218	0.08296	9.551	-0.06036
7700	50	21	0.02966	0.02623	0.4685	0.1147	0.1052	9.505	-0.04202
7750	50	25	0.01912	0.02797	0.4769	0.09014	0.07998	9.509	-0.03667
7800	50	25	0.01912	0.01846	0.4851	0.09014	0.06975	9.525	-0.01313
7850	50	21	0.02317	0.03609	0.4811	0.09367	0.1101	9.511	-0.05487
7900	50	26	0.02381	0.01557	0.4973	0.095	0.06344	9.524	-0.01664
7950	50	29	0.01912	0.02581	0.4836	0.09014	0.07994	9.505	-0.03097
8000	50	22	0.03032	0.02676	0.4656	0.1097	0.09536	9.515	-0.05172
8050	50	21	0.01912	0.02756	0.4762	0.09014	0.08609	9.514	-0.03306
8100	50	23	0.03303	0.02061	0.4618	0.1185	0.07081	9.493	-0.0489
8150	50	26	0.02449	0.0136	0.469	0.09661	0.06468	9.517	0.2201
8200	50	26	0.02305	0.02526	0.4428	0.09345	0.08849	9.494	-0.03773
8250	50	23	0.02426	0.01707	0.4805	0.09394	0.06941	9.509	-0.02203
8300	50	21	0.03943	0.02734	0.4761	0.1335	0.08367	9.524	-0.07229
8350	50	29	0.01843	0.01707	0.4812	0.07577	0.06941	9.509	-0.008389
8400	50	23	0.02914	0.0376	0.4709	0.1125	0.12	9.514	0.1925
8450	50	22	0.02075	0.03217	0.4818	0.09051	0.1293	9.51	-0.03392
8500	50	24	0.02949	0.02431	0.4784	0.114	0.08685	9.54	-0.01463
8550	50	24	0.01912	0.0361	0.4679	0.09014	0.148	9.484	-0.03146
8600	50	28	0.02358	0.02842	0.4718	0.0945	0.1172	9.499	0.09212
8650	50	23	0.03644	0.03084	0.4809	0.1213	0.1066	9.517	0.1311
8700	50	24	0.02322	0.01707	0.4823	0.09377	0.06941	9.508	-0.01935
8750	50	28	0.03029	0.02466	0.4746	0.1126	0.07746	9.505	-0.05217
8800	50	21	0.01912	0.0137	0.4549	0.09014	0.0647	9.503	-0.04491
8850	50	26	0.02456	0.01707	0.4849	0.09678	0.06941	9.502	-0.02214
8900	50	27	0.02502	0.01707	0.4797	0.09801	0.06941	9.526	-0.02303
8950	50	26	0.02111	0.01726	0.4779	0.09079	0.06937	9.508	-0.01489
9000	50	29	0.02063	0.03439	0.4749	0.09043	0.1179	9.507	0.003863
9050	50	29	0.01912	0.04292	0.4541	0.09014	0.1276	9.522	-0.04783
9100	50	26	0.01912	0.01805	0.4932	0.09014	0.06951	9.51	-0.01193
9150	50	30	0.03646	0.01923	0.4849	0.1127	0.07052	9.51	0.2842
9200	50	22	0.02926	0.01707	0.503	0.1025	0.06941	9.51	-0.03218
9250	50	26	0.04063	0.03417	0.4669	0.1423	0.1284	9.499	-0.06117
9300	50	22	0.02371	0.02299	0.5008	0.09478	0.07959	9.518	-0.03643
9350	50	24	0.03009	0.01707	0.4864	0.1166	0.06941	9.511	-0.03003
9400	50	23	0.02394	0.01793	0.4805	0.09528	0.06946	9.509	-0.02401
9450	50	23	0.01951	0.02911	0.4918	0.09009	0.1073	9.511	0.6662
9500	50	31	0.02525	0.02286	0.4794	0.09866	0.07916	9.512	-0.0393
9550	50	27	0.01912	0.01707	0.4841	0.09014	0.06941	9.512	-0.008934
9600	50	25	0.02625	0.01707	0.4783	0.1017	0.06941	9.506	-0.02516
9650	50	25	0.01937	0.03094	0.4546	0.0901	0.09478	9.513	-0.03853
9700	50	28	0.01912	0.01707	0.4752	0.09014	0.06941	9.51	-0.008934
9750	50	23	0.02449	0.01737	0.4699	0.09409	0.06936	9.5	-0.02376
9800	50	25	0.01912	0.01707	0.4784	0.09014	0.06941	9.498	-0.008934
9850	50	31	0.02086	0.01707	0.4634	0.09059	0.06941	9.508	-0.01362
9900	50	28	0.02568	0.02557	0.4686	0.09993	0.08982	9.507	-0.04304
9950	50	26	0.01912	0.01707	0.4892	0.09014	0.06941	9.486	-0.008934
10000	50	26	0.04334	0.02317	0.473	0.1429	0.0802	9.514	-0.064




PARAMETER VALUES
Initial population: 	150
Number of colonies: 	50
Number generations: 	10000
